DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Scheduled,Departure,International,4383
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Charter,Departure,Domestic,44
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Scheduled,Arrival,International,4389
09/10/2022 06:01:10 AM,08/01/2022 12:00:00 AM,Charter,Arrival,International,1
09/10/2022 06:01:10 AM,08/01/2022 12:00:00 AM,Charter,Departure,International,1
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,16882
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,16876
10/01/2022 12:00:21 AM,08/01/2022 12:00:00 AM,Charter,Arrival,Domestic,39
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Charter,Arrival,Domestic,39
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Charter,Departure,International,1
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Scheduled,Arrival,International,4523
09/01/2022 12:00:54 AM,07/01/2022 12:00:00 AM,Scheduled,Departure,International,4518
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Charter,Departure,Domestic,36
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Charter,Arrival,International,2
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,17141
08/30/2022 11:02:17 AM,07/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,17136
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Scheduled,Arrival,International,4131
11/10/2022 06:01:11 AM,06/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,16435
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Charter,Departure,Domestic,23
09/01/2022 12:00:54 AM,06/01/2022 12:00:00 AM,Scheduled,Departure,International,4144
07/10/2022 06:01:12 AM,06/01/2022 12:00:00 AM,Charter,Arrival,International,2
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,16920
07/28/2022 09:31:00 AM,06/01/2022 12:00:00 AM,Charter,Arrival,Domestic,23
07/10/2022 06:01:12 AM,06/01/2022 12:00:00 AM,Charter,Departure,International,1
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Charter,Departure,International,3
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Charter,Arrival,Domestic,57
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Charter,Departure,Domestic,52
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,16860
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Scheduled,Departure,International,3806
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Charter,Arrival,International,2
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,16846
07/01/2022 12:00:22 AM,05/01/2022 12:00:00 AM,Scheduled,Arrival,International,3841
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,15734
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Charter,Arrival,International,5
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,15744
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Charter,Departure,Domestic,96
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Charter,Departure,International,4
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Scheduled,Arrival,International,3539
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Scheduled,Departure,International,3545
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Charter,Arrival,Domestic,98
05/01/2022 12:00:25 AM,03/01/2022 12:00:00 AM,Charter,Arrival,Domestic,84
05/01/2022 12:00:25 AM,03/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,15975
04/10/2022 06:01:09 AM,03/01/2022 12:00:00 AM,Charter,Departure,International,1
06/01/2022 12:00:23 AM,03/01/2022 12:00:00 AM,Scheduled,Departure,International,3305
05/01/2022 12:00:25 AM,03/01/2022 12:00:00 AM,Charter,Departure,Domestic,85
06/01/2022 12:00:23 AM,03/01/2022 12:00:00 AM,Scheduled,Arrival,International,3306
05/01/2022 12:00:25 AM,03/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,16000
05/01/2022 12:00:25 AM,02/01/2022 12:00:00 AM,Charter,Arrival,Domestic,64
03/10/2022 06:01:10 AM,02/01/2022 12:00:00 AM,Charter,Departure,International,1
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Scheduled,Departure,International,2762
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,14141
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,14132
05/01/2022 12:00:25 AM,02/01/2022 12:00:00 AM,Charter,Departure,Domestic,62
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Scheduled,Arrival,International,2758
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Scheduled,Arrival,International,3339
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Scheduled,Departure,International,3337
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Scheduled,Departure,Domestic,15375
05/01/2022 12:00:25 AM,01/01/2022 12:00:00 AM,Charter,Arrival,Domestic,74
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Charter,Arrival,International,10
05/01/2022 12:00:25 AM,01/01/2022 12:00:00 AM,Charter,Departure,Domestic,72
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Charter,Departure,International,10
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Scheduled,Arrival,Domestic,15376
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Charter,Departure,International,12
05/01/2022 12:00:25 AM,12/01/2021 12:00:00 AM,Charter,Arrival,Domestic,30
05/01/2022 12:00:25 AM,12/01/2021 12:00:00 AM,Charter,Departure,Domestic,33
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Scheduled,Departure,International,3502
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,16014
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Charter,Arrival,International,14
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Scheduled,Arrival,International,3510
01/31/2022 03:01:29 PM,12/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,16011
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Charter,Arrival,International,1
05/01/2022 12:00:25 AM,11/01/2021 12:00:00 AM,Charter,Departure,Domestic,51
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Scheduled,Departure,International,3213
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Charter,Departure,International,4
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,16408
05/01/2022 12:00:25 AM,11/01/2021 12:00:00 AM,Charter,Arrival,Domestic,55
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Scheduled,Arrival,International,3201
01/01/2022 12:00:11 AM,11/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,16402
05/01/2022 12:00:25 AM,10/01/2021 12:00:00 AM,Charter,Arrival,Domestic,43
05/01/2022 12:00:25 AM,10/01/2021 12:00:00 AM,Charter,Departure,Domestic,45
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Charter,Departure,International,5
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,17028
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Scheduled,Arrival,International,2873
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,17030
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Scheduled,Departure,International,2882
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,Charter,Arrival,International,4
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,16640
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Scheduled,Arrival,International,2796
05/01/2022 12:00:25 AM,09/01/2021 12:00:00 AM,Charter,Arrival,Domestic,37
05/01/2022 12:00:25 AM,09/01/2021 12:00:00 AM,Charter,Departure,Domestic,37
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,16643
11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Scheduled,Departure,International,2763
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,17966
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,17792
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Charter,Departure,International,3
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Scheduled,Departure,International,3051
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Charter,Arrival,International,6
09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Scheduled,Arrival,International,3131
11/01/2021 12:00:16 AM,08/01/2021 12:00:00 AM,Charter,Departure,Domestic,32
11/01/2021 12:00:16 AM,08/01/2021 12:00:00 AM,Charter,Arrival,Domestic,28
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Charter,Arrival,Domestic,28
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Scheduled,Arrival,International,2996
08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,Charter,Arrival,International,2
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,17881
08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,Charter,Departure,International,0
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Charter,Departure,Domestic,29
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Scheduled,Departure,International,2977
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,17890
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Scheduled,Departure,International,2573
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,16519
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Charter,Departure,International,0
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,16534
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Scheduled,Arrival,International,2646
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Charter,Departure,Domestic,26
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Charter,Arrival,International,2
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Charter,Arrival,Domestic,22
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Scheduled,Departure,International,2369
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Charter,Arrival,Domestic,34
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,14479
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Charter,Departure,Domestic,36
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,14434
06/09/2021 12:34:10 PM,05/01/2021 12:00:00 AM,Charter,Arrival,International,2
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Scheduled,Arrival,International,2325
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,Charter,Arrival,Domestic,17
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,12171
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,Charter,Arrival,International,2
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,Charter,Departure,Domestic,23
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,12179
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Scheduled,Arrival,International,1911
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Scheduled,Departure,International,1928
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,Charter,Arrival,Domestic,18
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,Charter,Departure,Domestic,19
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,11764
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Scheduled,Arrival,International,1721
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,11771
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Scheduled,Departure,International,1727
04/01/2021 09:37:48 AM,02/01/2021 12:00:00 AM,Scheduled,Arrival,International,1619
04/01/2021 09:37:48 AM,02/01/2021 12:00:00 AM,Scheduled,Departure,International,1690
04/01/2021 09:37:48 AM,02/01/2021 12:00:00 AM,Charter,Arrival,Domestic,10
03/10/2021 06:01:08 AM,02/01/2021 12:00:00 AM,Charter,Arrival,International,1
04/01/2021 09:37:48 AM,02/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,9037
03/10/2021 06:01:08 AM,02/01/2021 12:00:00 AM,Charter,Departure,Domestic,11
04/01/2021 09:37:48 AM,02/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,9044
03/03/2021 10:48:12 AM,01/01/2021 12:00:00 AM,Charter,Arrival,International,4
03/03/2021 10:48:12 AM,01/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,10110
03/03/2021 10:48:12 AM,01/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,10142
03/03/2021 10:48:12 AM,01/01/2021 12:00:00 AM,Charter,Arrival,Domestic,15
03/03/2021 10:48:12 AM,01/01/2021 12:00:00 AM,Scheduled,Departure,International,2303
04/01/2021 09:37:48 AM,01/01/2021 12:00:00 AM,Scheduled,Arrival,International,2248
03/03/2021 10:48:12 AM,01/01/2021 12:00:00 AM,Charter,Departure,Domestic,18
03/03/2021 10:48:12 AM,01/01/2021 12:00:00 AM,Charter,Departure,International,3
02/02/2021 08:17:02 AM,12/01/2020 12:00:00 AM,Charter,Departure,Domestic,15
02/02/2021 08:17:02 AM,12/01/2020 12:00:00 AM,Scheduled,Departure,International,2021
02/02/2021 08:17:02 AM,12/01/2020 12:00:00 AM,Scheduled,Arrival,International,2081
02/02/2021 08:17:02 AM,12/01/2020 12:00:00 AM,Scheduled,Departure,Domestic,10609
02/02/2021 08:17:02 AM,12/01/2020 12:00:00 AM,Charter,Arrival,International,3
01/10/2021 06:01:37 AM,12/01/2020 12:00:00 AM,Charter,Arrival,Domestic,19
02/02/2021 08:17:02 AM,12/01/2020 12:00:00 AM,Scheduled,Arrival,Domestic,10578
01/10/2021 06:01:37 AM,11/01/2020 12:00:00 AM,Scheduled,Departure,Domestic,9854
01/10/2021 06:01:37 AM,11/01/2020 12:00:00 AM,Charter,Departure,Domestic,31
12/10/2020 06:01:38 AM,11/01/2020 12:00:00 AM,Charter,Departure,International,0
01/10/2021 06:01:37 AM,11/01/2020 12:00:00 AM,Scheduled,Departure,International,1645
01/10/2021 06:01:37 AM,11/01/2020 12:00:00 AM,Scheduled,Arrival,Domestic,9883
01/10/2021 06:01:37 AM,11/01/2020 12:00:00 AM,Scheduled,Arrival,International,1636
01/10/2021 06:01:37 AM,11/01/2020 12:00:00 AM,Charter,Arrival,Domestic,28
12/10/2020 06:01:38 AM,11/01/2020 12:00:00 AM,Charter,Arrival,International,1
12/07/2020 01:58:36 PM,10/01/2020 12:00:00 AM,Scheduled,Departure,International,1515
12/07/2020 01:58:36 PM,10/01/2020 12:00:00 AM,Scheduled,Arrival,International,1513
12/07/2020 01:58:36 PM,10/01/2020 12:00:00 AM,Charter,Arrival,International,2
12/07/2020 01:58:36 PM,10/01/2020 12:00:00 AM,Scheduled,Departure,Domestic,9451
12/07/2020 01:58:36 PM,10/01/2020 12:00:00 AM,Scheduled,Arrival,Domestic,9442
12/07/2020 01:58:36 PM,10/01/2020 12:00:00 AM,Charter,Departure,Domestic,26
10/10/2020 06:01:21 AM,10/01/2020 12:00:00 AM,Charter,Departure,International,1
12/07/2020 01:58:36 PM,10/01/2020 12:00:00 AM,Charter,Arrival,Domestic,26
11/10/2020 06:01:35 AM,09/01/2020 12:00:00 AM,Scheduled,Arrival,International,1254
10/27/2020 08:53:01 AM,09/01/2020 12:00:00 AM,Scheduled,Departure,Domestic,8548
12/07/2020 01:58:36 PM,09/01/2020 12:00:00 AM,Charter,Arrival,Domestic,21
10/27/2020 08:53:01 AM,09/01/2020 12:00:00 AM,Charter,Departure,Domestic,18
10/27/2020 08:53:01 AM,09/01/2020 12:00:00 AM,Scheduled,Arrival,Domestic,8544
11/10/2020 06:01:35 AM,09/01/2020 12:00:00 AM,Scheduled,Departure,International,1267
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Scheduled,Departure,International,1175
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Scheduled,Arrival,International,1185
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Scheduled,Arrival,Domestic,9758
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Scheduled,Departure,Domestic,9763
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Charter,Departure,Domestic,16
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Charter,Arrival,Domestic,16
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Charter,Departure,International,8
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Charter,Arrival,International,8
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Scheduled,Departure,Domestic,8998
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Charter,Arrival,Domestic,10
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Scheduled,Arrival,Domestic,9027
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Scheduled,Arrival,International,1027
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Charter,Arrival,International,7
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Scheduled,Departure,International,1037
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Charter,Departure,International,11
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Charter,Departure,Domestic,12
08/03/2020 07:35:04 AM,06/01/2020 12:00:00 AM,Scheduled,Arrival,Domestic,5519
